importances_mean,importances_std,feature
738.6784812561043,82.50306608531581,MS Zoning
0.0,0.0,Street
1.1208237834369357,0.1969857527580409,Alley
57.455936464768456,4.828197938595332,Lot Shape
500.90848273218944,18.7413540217172,Land Contour
0.0,0.0,Utilities
39.90186711057322,7.393205243312634,Lot Config
3.4957501581193355,0.39173821381483503,Land Slope
1718.5168107529184,306.3176309086217,Neighborhood
280.4920339690325,26.387663533128936,Condition 1
0.0,0.0,Condition 2
10.439644322839376,5.027626962006395,Bldg Type
28.749130401930962,4.115532668140327,House Style
22.087367293089848,6.025160915917045,Roof Style
3.8296152194103343,0.5908548422479857,Roof Matl
304.7347594384195,57.4339612275568,Exterior 1st
51.80194178828096,23.983866957771916,Exterior 2nd
51.16532328872454,9.618370471953238,Mas Vnr Type
264.4484989014007,10.013804999748988,Exter Qual
6.571431651565945,0.7929491625203884,Exter Cond
10.14954252709831,2.796579184473804,Foundation
1109.1183643988975,32.12839018034616,Bsmt Qual
30.61210873457967,4.254810366389289,Bsmt Cond
375.1861108114248,18.39629049089217,Bsmt Exposure
193.58361550524532,13.378386830440295,BsmtFin Type 1
1.888918555796772,0.34140099701420556,BsmtFin Type 2
9.831256779427349,3.8620409099483184,Heating
111.33536855254388,7.928088452644833,Heating QC
82.58077617357303,6.186901940958119,Central Air
2.7588944616552906,0.6251029241698842,Electrical
791.3980975114868,43.023225083558884,Kitchen Qual
174.98442744616696,23.46460143467353,Functional
696.0114190432148,70.51538807932855,Fireplace Qu
6.676918636439223,1.9281577634667808,Garage Type
43.67019971203372,6.020702828991142,Garage Finish
1.4247693182362127,0.4546648565417107,Garage Qual
56.437002780230614,4.238402591515315,Garage Cond
127.56154835423695,12.580172010943034,Paved Drive
0.0,0.0,Pool QC
2.0405643643018267,0.3036888999181734,Fence
0.0,0.0,Misc Feature
28.62949906034337,6.581273133026963,Sale Type
860.5063716986722,46.86846660897485,Sale Condition
65.78137494113908,7.20957195595775,MS SubClass
572.5462738482445,24.639724282958785,Lot Frontage
3067.0988160061165,93.00374555296176,Lot Area
30486.138643434097,576.7169052299744,Overall Qual
981.5758995601154,38.61567819109143,Overall Cond
1715.4725866906706,23.255794688779908,Year Built
2138.0556730302314,58.90100090092192,Year Remod/Add
656.777710679123,58.818254655144635,Mas Vnr Area
2713.6238320112247,110.97691316755922,BsmtFin SF 1
38.76889379721106,11.582354972395548,BsmtFin SF 2
1106.6108500765986,255.79622248109143,Bsmt Unf SF
4973.492034835996,76.50946575592869,Total Bsmt SF
4923.490500161529,191.77747536386835,1st Flr SF
456.02492006713294,46.07365540020299,2nd Flr SF
22.334977828101547,7.360048247305141,Low Qual Fin SF
19387.34488388399,391.461365844842,Gr Liv Area
242.75968415832213,45.87813856784811,Bsmt Full Bath
0.11192413539429254,0.02295989820353081,Bsmt Half Bath
423.3696919012742,34.768607734141995,Full Bath
67.90530086898725,8.644887291916582,Half Bath
189.67904894574568,39.08129777623316,Bedroom AbvGr
7.8639051064965315,1.9532191769393594,Kitchen AbvGr
103.23638340647304,7.406684075016441,TotRms AbvGrd
342.30500089120176,35.29016211242917,Fireplaces
477.40040755425036,17.229795976044638,Garage Yr Blt
6433.750802174087,210.99340557956802,Garage Cars
1142.3497443163064,63.61454703139729,Garage Area
567.3759382529945,42.371690682585005,Wood Deck SF
1119.9880474350132,35.473308947143295,Open Porch SF
19.867353215562616,2.930865318280961,Enclosed Porch
0.0,0.0,3Ssn Porch
527.6253709112837,47.00092292813494,Screen Porch
0.0,0.0,Pool Area
0.12445967390995065,0.0872421196321453,Misc Val
799.2467556775846,69.29461971866112,Mo Sold
127.12012347604832,18.284404860457215,Yr Sold
